6|1000.0f:246.0f,154.0f>1010.50f:326.68f,154.38f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
6|1010.5f:169.0f,89.0f>1022.43f:233.46f,154.02f;1024.06f:245.82f,154.26f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
8|1000.0f:591.0f,373.0f>1001.00f:598.41f,364.17f;1004.88f:600.28f,317.51f;1022.90f:752.48f,164.10f;1028.15f:751.80f,100.35f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
9|1000.0f:509.0f,373.0f>1002.40f:481.18f,402.18f;1002.82f:483.44f,408.95f;1006.15f:482.42f,463.17f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
1|1006.2f:509.0f,373.0f>1013.54f:630.72f,373.06f;1014.25f:640.87f,379.78f;1015.33f:652.78f,393.24f;1017.99f:697.34f,393.74f;1023.71f:766.24f,330.32f;1026.97f:820.09f,328.86f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
9|1000.0f:721.0f,225.0f>1000.97f:720.79f,262.52f;1001.81f:697.39f,284.81f;1004.34f:597.93f,285.83f;1004.60f:590.41f,291.99f;1007.54f:508.42f,373.07f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
1|1007.5f:509.0f,373.0f>1010.68f:630.83f,372.90f;1010.99f:640.95f,379.78f;1011.45f:653.16f,392.91f;1012.58f:696.77f,393.32f;1014.98f:766.10f,329.88f;1017.36f:859.45f,329.57f;1020.02f:934.20f,257.08f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
3|1000.0f:563.0f,466.0f>1004.25f:627.04f,465.05f;1008.62f:673.96f,418.01f;1010.09f:696.03f,418.23f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
7|1010.1f:618.0f,171.0f>1011.85f:617.43f,195.78f;1015.13f:583.99f,231.31f;1016.22f:584.05f,248.14f;1016.83f:578.23f,255.98f;1019.19f:578.09f,291.43f;1020.49f:565.66f,306.46f;1021.35f:564.01f,318.50f;1031.09f:563.72f,464.32f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
3|1000.0f:417.0f,466.0f>1006.01f:481.19f,466.28f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
3|1000.0f:502.0f,466.0f>1008.99f:599.01f,467.34f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
1|1000.0f:819.6f,329.2f>1001.97f:851.43f,328.67f;1002.47f:860.12f,329.09f;1008.93f:934.48f,256.76f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
3|1000.0f:451.9f,466.5f>1009.02f:598.30f,467.26f;1010.78f:627.21f,464.24f;1014.76f:674.66f,418.83f;1018.95f:744.18f,418.75f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
6|1000.0f:619.0f,311.0f>1000.91f:631.15f,311.47f;1002.37f:646.64f,324.58f;1004.15f:664.53f,342.38f;1005.10f:675.05f,350.70f;1005.74f:684.06f,351.93f;1009.10f:732.09f,353.36f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
1|1009.1f:732.0f,360.0f>1012.28f:766.12f,330.51f;1018.86f:860.06f,329.57f;1027.24f:944.47f,244.48f;1031.20f:944.47f,189.46f;1032.44f:947.96f,172.21f;1033.50f:962.71f,170.54f;1036.12f:1000.36f,171.21f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f;0.0f:0.0f,0.0f
