4,"Wed","LUL","Clapham South","Camden Town","1000","16:40","1038","17:18","Z0110","TKT","N",0,0,"XX","Freedom Pass (Elderly)"
4,"Wed","LUL","Hammersmith D","Turnpike Lane","1000","16:40","1043","17:23","-------","PPY","N",270,270,"XX","PAYG"
3,"Tue","LUL","Edgware Road M","Eastcote","1000","16:40","1038","17:18","Z0110","TKT","N",0,0,"XX","Staff Pass - Staff Nominee"
3,"Tue","LUL","Embankment","Camden Town","1000","16:40","1020","17:00","-------","PPY","N",220,220,"XX","PAYG"
3,"Tue","LUL","Sloane Square","Victoria","1000","16:40","1004","16:44","Z0110","TKT","N",0,0,"XX","Freedom Pass (Elderly)"
5,"Thu","LUL","Euston Square","Barking","1000","16:40","1041","17:21","Z0204","MIX","N",160,160,"XX","LUL Travelcard-Annual"
5,"Thu","LUL","London Bridge","Caledonian Road","1000","16:40","1019","16:59","Z0102","TKT","N",0,0,"XX","LUL Travelcard-1 Month"
2,"Mon","LUL","Hyde Park Corner","Belsize Park","1000","16:40","1030","17:10","-------","PPY","N",220,220,"XX","PAYG"
6,"Fri","LUL","Paddington","Liverpool Street","1000","16:40","1032","17:12","-------","PPY","N",160,160,"XX","PAYG"
4,"Wed","LUL","Knightsbridge","Leicester Square","1000","16:40","1013","16:53","Z0102","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
2,"Mon","LUL","Rayners Lane","Harrow On The Hill","1000","16:40","1009","16:49","Z0110","TKT","N",0,0,"XX","Freedom Pass (Elderly)"
6,"Fri","LUL","Piccadilly Circus","Turnpike Lane","1000","16:40","1029","17:09","Z0110","TKT","N",0,0,"XX","Staff Pass - Staff Nominee"
5,"Thu","LUL","Hounslow Central","Hammersmith D","1000","16:40","1027","17:07","Z0110","TKT","N",0,0,"XX","Freedom Pass (Disabled)"
6,"Fri","LUL","Hounslow East","East Finchley","1000","16:40","1078","17:58","-------","PPY","N",280,280,"XX","PAYG"
6,"Fri","LUL","Marble Arch","Hainault","1000","16:40","1050","17:30","Z0104","TKT","N",0,0,"XX","LUL Travelcard-Annual"
6,"Fri","LUL","Farringdon","East Finchley","1000","16:40","1033","17:13","Z0104","TKT","N",0,0,"XX","LUL Travelcard-Annual"
6,"Fri","LUL","Bond Street","Marble Arch","1000","16:40","1006","16:46","Z0103","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
2,"Mon","LUL","Tottenham Court Rd","Embankment","1000","16:40","1008","16:48","Z0103","TKT","N",0,0,"XX","LUL Travelcard-1 Month"
5,"Thu","LUL","Liverpool Street","Piccadilly Circus","1000","16:40","1023","17:03","Z0102","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
3,"Tue","LUL","Blackhorse Road","Southgate","1000","16:40","1037","17:17","-------","PPY","N",100,100,"XX","PAYG"
5,"Thu","LUL","Aldgate","Kings Cross St Pancras","1000","16:40","1015","16:55","-------","PPY","N",160,160,"XX","PAYG"
6,"Fri","LUL","Paddington","East Putney","1000","16:40","1025","17:05","Z0102","TKT","N",0,0,"XX","LUL Travelcard-Annual"
2,"Mon","LUL","Snaresbrook","Buckhurst Hill","1000","16:40","1012","16:52","-------","PPY","N",55,55,"XX","PAYG"
2,"Mon","LUL","Bond Street","Pimlico","1000","16:40","1016","16:56","Z0102","TKT","N",0,0,"XX","LUL Travelcard-1 Month"
6,"Fri","LUL","London Bridge","Camden Town","1000","16:40","1026","17:06","-------","PPY","N",220,220,"XX","PAYG"
5,"Thu","LUL","Barons Court","Belsize Park","1000","16:40","1043","17:23","Z0102","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
6,"Fri","LUL","Northwick Park","Northwood Hills","1000","16:40","1023","17:03","-------","PPY","N",200,200,"XX","PAYG"
5,"Thu","LUL","White City","Ealing Broadway","1000","16:40","1014","16:54","Z0203","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
3,"Tue","LUL","Hammersmith D","Sloane Square","1000","16:40","1018","16:58","-------","PPY","Y",55,45,"XX","PAYG"
3,"Tue","LUL","Leyton","Leyton","1000","16:40","1020","17:00","Z0203","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
3,"Tue","LUL","White City","Bounds Green","1000","16:40","1042","17:22","Z0103","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
3,"Tue","LUL","Westminster","West Ruislip","1000","16:40","1051","17:31","-------","PPY","N",380,380,"XX","PAYG"
5,"Thu","LUL","Westminster","West Ruislip","1000","16:40","1047","17:27","-------","PPY","N",380,380,"XX","PAYG"
3,"Tue","LUL","London Bridge","Wimbledon Park","1000","16:40","1046","17:26","-------","PPY","N",270,270,"XX","PAYG"
4,"Wed","LUL","London Bridge","Waterloo","1000","16:40","1007","16:47","Z0104","TKT","N",0,0,"XX","LUL Travelcard->Annual"
2,"Mon","LUL","Cannon Street","Putney Bridge","1000","16:40","1037","17:17","Z0102","TKT","N",0,0,"XX","LUL Travelcard-7 Day"
3,"Tue","LUL","South Woodford","Loughton","1000","16:40","1019","16:59","-------","PPY","N",200,200,"XX","PAYG"
3,"Tue","LUL","Mansion House","Victoria","1000","16:40","1012","16:52","Z0102","TKT","N",0,0,"XX","LUL Travelcard-Annual"
2,"Mon","LUL","Tottenham Court Rd","Marble Arch","1000","16:40","1011","16:51","-------","PPY","Y",160,150,"XX","PAYG"
5,"Thu","LUL","Wood Green","Arnos Grove","1000","16:40","1012","16:52","Z0110","TKT","N",0,0,"XX","Freedom Pass (Elderly)"
